ref_year,ref_month,기준월,시도,전기차등록대수
2021,5,2021-05,전남,6222
2021,5,2021-05,전북,4432
2021,5,2021-05,제주,22148
2021,5,2021-05,충남,6588
2021,5,2021-05,충북,4952
2021,6,2021-06,강원,5200
2021,6,2021-06,경기,30030
2021,6,2021-06,경남,8685
2021,6,2021-06,경북,8676
2021,6,2021-06,광주,4081
2021,6,2021-06,대구,13974
2021,6,2021-06,대전,5836
2021,6,2021-06,부산,8503
2021,6,2021-06,서울,28752
2021,6,2021-06,세종,1404
2021,6,2021-06,울산,2897
2021,6,2021-06,인천,7790
2021,6,2021-06,전남,6643
2021,6,2021-06,전북,5104
2021,6,2021-06,제주,22838
2021,6,2021-06,충남,7254
2021,6,2021-06,충북,5480
2021,7,2021-07,강원,5485
2021,7,2021-07,경기,31820
2021,7,2021-07,경남,9244
2021,7,2021-07,경북,9171
2021,7,2021-07,광주,4242
2021,7,2021-07,대구,14226
2021,7,2021-07,대전,6143
2021,7,2021-07,부산,8824
2021,7,2021-07,서울,29325
2021,7,2021-07,세종,1437
2021,7,2021-07,울산,2943
2021,7,2021-07,인천,8446
2021,7,2021-07,전남,6956
2021,7,2021-07,전북,5466
2021,7,2021-07,제주,23262
2021,7,2021-07,충남,8042
2021,7,2021-07,충북,5934
2021,8,2021-08,강원,5929
2021,8,2021-08,경기,33832
2021,8,2021-08,경남,9730
2021,8,2021-08,경북,9683
2021,8,2021-08,광주,4478
2021,8,2021-08,대구,14632
2021,8,2021-08,대전,6652
2021,8,2021-08,부산,9525
2021,8,2021-08,서울,31220
2021,8,2021-08,세종,1509
2021,8,2021-08,울산,3038
2021,8,2021-08,인천,9370
2021,8,2021-08,전남,7211
2021,8,2021-08,전북,5826
2021,8,2021-08,제주,23590
2021,8,2021-08,충남,8426
2021,8,2021-08,충북,6414
2021,9,2021-09,강원,6266
2021,9,2021-09,경기,35385
2021,9,2021-09,경남,10274
2021,9,2021-09,경북,10013
2021,9,2021-09,광주,4722
2021,9,2021-09,대구,15122
2021,9,2021-09,대전,7134
2021,9,2021-09,부산,10480
2021,9,2021-09,서울,33434
2021,9,2021-09,세종,1627
2021,9,2021-09,울산,3167
2021,9,2021-09,인천,10543
2021,9,2021-09,전남,7574
2021,9,2021-09,전북,6286
2021,9,2021-09,제주,23845
2021,9,2021-09,충남,8847
2021,9,2021-09,충북,6801
2021,10,2021-10,강원,6786
2021,10,2021-10,경기,37084
2021,10,2021-10,경남,11199
2021,10,2021-10,경북,10373
2021,10,2021-10,광주,4806
2021,10,2021-10,대구,15753
2021,10,2021-10,대전,7700
2021,10,2021-10,부산,10939
2021,10,2021-10,서울,35067
2021,10,2021-10,세종,1680
2021,10,2021-10,울산,3184
2021,10,2021-10,인천,11295
2021,10,2021-10,전남,7826
2021,10,2021-10,전북,6733
2021,10,2021-10,제주,24410
2021,10,2021-10,충남,9480
2021,10,2021-10,충북,7362
2021,11,2021-11,강원,7231
2021,11,2021-11,경기,38563
2021,11,2021-11,경남,12122
2021,11,2021-11,경북,10870
2021,11,2021-11,광주,4978
2021,11,2021-11,대구,16083
2021,11,2021-11,대전,7737
2021,11,2021-11,부산,11766
2021,11,2021-11,서울,38840
2021,11,2021-11,세종,1717
2021,11,2021-11,울산,3149
2021,11,2021-11,인천,11775
2021,11,2021-11,전남,8042
2021,11,2021-11,전북,7147
2021,11,2021-11,제주,25381
2021,11,2021-11,충남,9836
2021,11,2021-11,충북,7731
2021,12,2021-12,강원,7946
2021,12,2021-12,경기,39958
2021,12,2021-12,경남,12606
2021,12,2021-12,경북,11240
2021,12,2021-12,광주,5194
2021,12,2021-12,대구,16185
2021,12,2021-12,대전,7701
2021,12,2021-12,부산,12375
2021,12,2021-12,서울,40564
2021,12,2021-12,세종,1859
2021,12,2021-12,울산,3166
2021,12,2021-12,인천,12820
2021,12,2021-12,전남,8708
2021,12,2021-12,전북,7365
2021,12,2021-12,제주,25571
2021,12,2021-12,충남,9991
2021,12,2021-12,충북,8194
2022,1,2022-01,강원,8042
2022,1,2022-01,경기,40239
2022,1,2022-01,경남,12725
2022,1,2022-01,경북,11269
2022,1,2022-01,광주,5204
2022,1,2022-01,대구,16169
2022,1,2022-01,대전,7675
2022,1,2022-01,부산,12501
2022,1,2022-01,서울,41140
2022,1,2022-01,세종,1879
2022,1,2022-01,울산,3180
2022,1,2022-01,인천,12942
2022,1,2022-01,전남,8837
2022,1,2022-01,전북,7389
2022,1,2022-01,제주,25580
2022,1,2022-01,충남,10015
2022,1,2022-01,충북,8184
2022,2,2022-02,강원,8179
2022,2,2022-02,경기,41266
2022,2,2022-02,경남,13536
2022,2,2022-02,경북,11540
2022,2,2022-02,광주,5652
2022,2,2022-02,대구,17091
2022,2,2022-02,대전,7902
2022,2,2022-02,부산,13805
2022,2,2022-02,서울,41693
2022,2,2022-02,세종,1902
2022,2,2022-02,울산,3405
2022,2,2022-02,인천,13179
2022,2,2022-02,전남,9203
2022,2,2022-02,전북,7456
2022,2,2022-02,제주,26184
2022,2,2022-02,충남,10525
2022,2,2022-02,충북,8664
2022,3,2022-03,강원,8652
2022,3,2022-03,경기,45891
2022,3,2022-03,경남,14371
2022,3,2022-03,경북,12318
2022,3,2022-03,광주,6015
2022,3,2022-03,대구,17584
2022,3,2022-03,대전,8595
2022,3,2022-03,부산,15330
2022,3,2022-03,서울,43206
2022,3,2022-03,세종,2069
2022,3,2022-03,울산,3789
2022,3,2022-03,인천,14134
2022,3,2022-03,전남,9978
2022,3,2022-03,전북,8404
2022,3,2022-03,제주,26702
2022,3,2022-03,충남,11532
2022,3,2022-03,충북,9683
2022,4,2022-04,강원,9117
2022,4,2022-04,경기,50111
2022,4,2022-04,경남,14957
2022,4,2022-04,경북,13018
2022,4,2022-04,광주,6233
2022,4,2022-04,대구,18076
2022,4,2022-04,대전,9550
2022,4,2022-04,부산,16059
2022,4,2022-04,서울,45133
2022,4,2022-04,세종,2180
2022,4,2022-04,울산,3948
2022,4,2022-04,인천,15191
2022,4,2022-04,전남,10658
2022,4,2022-04,전북,8931
2022,4,2022-04,제주,26931
2022,4,2022-04,충남,12142
2022,4,2022-04,충북,10421
2022,5,2022-05,강원,9666
2022,5,2022-05,경기,53239
2022,5,2022-05,경남,15821
2022,5,2022-05,경북,13839
2022,5,2022-05,광주,6462
2022,5,2022-05,대구,18808
2022,5,2022-05,대전,10213
2022,5,2022-05,부산,16630
2022,5,2022-05,서울,46723
2022,5,2022-05,세종,2307
2022,5,2022-05,울산,4134
2022,5,2022-05,인천,16859
2022,5,2022-05,전남,11102
2022,5,2022-05,전북,9310
2022,5,2022-05,제주,27224
2022,5,2022-05,충남,12712
2022,5,2022-05,충북,11209
2022,6,2022-06,강원,10159
2022,6,2022-06,경기,56232
2022,6,2022-06,경남,16486
2022,6,2022-06,경북,14478
2022,6,2022-06,광주,6766
2022,6,2022-06,대구,19705
2022,6,2022-06,대전,10468
2022,6,2022-06,부산,17206
2022,6,2022-06,서울,48362
2022,6,2022-06,세종,2394
2022,6,2022-06,울산,4181
2022,6,2022-06,인천,18329
2022,6,2022-06,전남,11549
2022,6,2022-06,전북,9723
2022,6,2022-06,제주,27622
2022,6,2022-06,충남,13298
2022,6,2022-06,충북,11675
2022,7,2022-07,강원,10857
2022,7,2022-07,경기,59744
2022,7,2022-07,경남,17215
2022,7,2022-07,경북,15663
2022,7,2022-07,광주,7152
2022,7,2022-07,대구,20613
2022,7,2022-07,대전,11267
2022,7,2022-07,부산,17776
2022,7,2022-07,서울,49590
2022,7,2022-07,세종,2480
2022,7,2022-07,울산,4156
2022,7,2022-07,인천,19567
2022,7,2022-07,전남,12580
2022,7,2022-07,전북,10246
2022,7,2022-07,제주,28241
2022,7,2022-07,충남,14051
2022,7,2022-07,충북,12603
2022,8,2022-08,강원,11538
2022,8,2022-08,경기,63314
2022,8,2022-08,경남,18245
2022,8,2022-08,경북,16429
2022,8,2022-08,광주,7397
2022,8,2022-08,대구,21239
2022,8,2022-08,대전,11920
2022,8,2022-08,부산,18507
2022,8,2022-08,서울,51240
2022,8,2022-08,세종,2555
2022,8,2022-08,울산,4184
2022,8,2022-08,인천,20858
