연도,월,기준월,시도,충전량_kWh,충전횟수,충전시간_h,활성충전기수
2020,6,2020-06,제주,139515.31,8666.0,2263.73,122.0
2020,6,2020-06,충남,199296.91,10040.0,2674.3,222.0
2020,6,2020-06,충북,181150.25,9553.0,2605.49,195.0
2020,7,2020-07,강원,160079.66,10546.0,2851.72,293.0
2020,7,2020-07,경기,374674.43,20492.0,6304.2,293.0
2020,7,2020-07,경남,183493.09,10361.0,2856.67,245.0
2020,7,2020-07,경북,370622.14,19136.0,5623.64,410.0
2020,7,2020-07,광주,47438.06,2405.0,735.45,54.0
2020,7,2020-07,대구,144591.62,7181.0,2078.83,85.0
2020,7,2020-07,대전,84409.22,4102.0,1240.82,75.0
2020,7,2020-07,부산,49819.36,2569.0,755.91,53.0
2020,7,2020-07,서울,128809.0,7189.0,2046.28,121.0
2020,7,2020-07,세종,26727.87,1416.0,440.65,35.0
2020,7,2020-07,울산,59491.25,3048.0,813.66,95.0
2020,7,2020-07,인천,90653.51,4923.0,1530.8,92.0
2020,7,2020-07,전남,133690.7,8015.0,2138.26,284.0
2020,7,2020-07,전북,176142.6,9667.0,2738.57,192.0
2020,7,2020-07,제주,148297.31,9489.0,2496.12,122.0
2020,7,2020-07,충남,221351.2,11520.0,3376.98,231.0
2020,7,2020-07,충북,194331.05,10465.0,2968.4,200.0
2020,8,2020-08,강원,172769.11,11366.0,3003.74,298.0
2020,8,2020-08,경기,389720.26,21029.0,6423.69,319.0
2020,8,2020-08,경남,237214.24,12895.0,3553.53,266.0
2020,8,2020-08,경북,457099.75,23037.0,6746.94,431.0
2020,8,2020-08,광주,80622.89,3811.0,1122.58,56.0
2020,8,2020-08,대구,177817.8,8831.0,2507.75,111.0
2020,8,2020-08,대전,102710.37,4844.0,1478.02,79.0
2020,8,2020-08,부산,66978.97,3298.0,1017.65,54.0
2020,8,2020-08,서울,159092.85,8574.0,2420.74,124.0
2020,8,2020-08,세종,32855.16,1722.0,498.77,34.0
2020,8,2020-08,울산,68761.08,3526.0,994.4,96.0
2020,8,2020-08,인천,101931.79,5713.0,1884.5,93.0
2020,8,2020-08,전남,185127.96,10446.0,2895.51,291.0
2020,8,2020-08,전북,208357.37,11406.0,3205.22,208.0
2020,8,2020-08,제주,190402.12,12128.0,2784.78,121.0
2020,8,2020-08,충남,263892.82,13455.0,3772.38,256.0
2020,8,2020-08,충북,225121.78,11844.0,3432.81,199.0
2020,9,2020-09,강원,149142.62,10240.0,2652.26,310.0
2020,9,2020-09,경기,386819.53,21469.0,6271.41,331.0
2020,9,2020-09,경남,210636.67,11613.0,3075.17,269.0
2020,9,2020-09,경북,391883.3,20384.0,5752.55,442.0
2020,9,2020-09,광주,68603.98,3312.0,1007.92,62.0
2020,9,2020-09,대구,195416.1,9573.0,2132.47,111.0
2020,9,2020-09,대전,110410.76,5339.0,1502.06,76.0
2020,9,2020-09,부산,50368.75,2560.0,773.02,57.0
2020,9,2020-09,서울,158150.29,8795.0,2340.64,131.0
2020,9,2020-09,세종,29854.83,1606.0,455.74,32.0
2020,9,2020-09,울산,63412.08,3281.0,892.98,100.0
2020,9,2020-09,인천,105418.23,5855.0,1899.4,94.0
2020,9,2020-09,전남,143930.5,8544.0,2267.37,263.0
2020,9,2020-09,전북,163768.31,9641.0,2607.81,223.0
2020,9,2020-09,제주,142342.64,8857.0,2102.02,122.0
2020,9,2020-09,충남,263721.55,13693.0,3801.37,261.0
2020,9,2020-09,충북,201248.01,10929.0,3023.95,219.0
2020,10,2020-10,강원,220840.58,15420.0,3781.91,314.0
2020,10,2020-10,경기,506190.99,28921.0,8127.6,332.0
2020,10,2020-10,경남,276141.97,15461.0,3904.63,307.0
2020,10,2020-10,경북,529307.55,28295.0,7578.56,464.0
2020,10,2020-10,광주,77933.82,3988.0,1103.64,59.0
2020,10,2020-10,대구,225822.84,11533.0,2448.1,110.0
2020,10,2020-10,대전,148073.18,7585.0,1992.82,83.0
2020,10,2020-10,부산,63323.17,3203.0,938.23,53.0
2020,10,2020-10,서울,209775.98,11963.0,2927.71,133.0
2020,10,2020-10,세종,35648.1,2013.0,555.63,36.0
2020,10,2020-10,울산,66138.1,3554.0,903.38,104.0
2020,10,2020-10,인천,135530.77,7886.0,2321.62,94.0
2020,10,2020-10,전남,192443.31,11684.0,2920.63,296.0
2020,10,2020-10,전북,209783.45,12879.0,3363.59,215.0
2020,10,2020-10,제주,175057.2,10827.0,2494.24,125.0
2020,10,2020-10,충남,339233.84,17954.0,4598.95,279.0
2020,10,2020-10,충북,262224.21,14761.0,3800.1,210.0
2020,11,2020-11,강원,221498.56,13993.0,3340.73,333.0
2020,11,2020-11,경기,525719.62,29938.0,7944.87,347.0
2020,11,2020-11,경남,285527.16,17441.0,4135.97,346.0
2020,11,2020-11,경북,541650.56,29952.0,7380.14,490.0
2020,11,2020-11,광주,78844.87,4174.0,994.27,64.0
2020,11,2020-11,대구,213986.7,11137.0,2328.52,123.0
2020,11,2020-11,대전,154191.96,8195.0,1841.7,85.0
2020,11,2020-11,부산,67203.95,3566.0,920.44,63.0
2020,11,2020-11,서울,219147.79,13000.0,3005.52,139.0
2020,11,2020-11,세종,41966.06,2390.0,575.23,40.0
2020,11,2020-11,울산,59907.71,3487.0,848.85,108.0
2020,11,2020-11,인천,139118.56,7942.0,1849.71,92.0
2020,11,2020-11,전남,184315.53,10804.0,2557.64,321.0
2020,11,2020-11,전북,215732.18,12273.0,2993.04,229.0
2020,11,2020-11,제주,183075.45,11170.0,2525.88,133.0
2020,11,2020-11,충남,337322.03,18492.0,4451.58,307.0
2020,11,2020-11,충북,282565.04,16068.0,3813.11,237.0
2020,12,2020-12,강원,267930.32,15329.0,3417.49,365.0
2020,12,2020-12,경기,533645.06,31149.0,7118.14,379.0
2020,12,2020-12,경남,354419.85,20940.0,4595.32,352.0
2020,12,2020-12,경북,597792.01,33942.0,7505.43,505.0
2020,12,2020-12,광주,82425.19,4516.0,899.09,71.0
2020,12,2020-12,대구,214723.5,12102.0,2404.65,128.0
2020,12,2020-12,대전,155441.04,9135.0,1810.03,87.0
2020,12,2020-12,부산,91453.95,5427.0,1112.59,65.0
2020,12,2020-12,서울,213946.1,13002.0,2716.39,141.0
2020,12,2020-12,세종,58176.91,3383.0,679.16,40.0
2020,12,2020-12,울산,72214.78,4233.0,915.1,114.0
2020,12,2020-12,인천,126973.59,7548.0,1549.15,97.0
2020,12,2020-12,전남,210353.58,12230.0,2527.8,334.0
2020,12,2020-12,전북,201905.97,11290.0,2595.93,271.0
2020,12,2020-12,제주,161033.74,10122.0,2201.62,130.0
2020,12,2020-12,충남,333789.09,19085.0,4202.43,335.0
2020,12,2020-12,충북,298545.89,16947.0,3768.55,238.0
2021,1,2021-01,강원,243163.58,14400.0,2958.53,374.0
2021,1,2021-01,경기,497163.51,30354.0,6505.32,393.0
2021,1,2021-01,경남,371750.77,22297.0,4715.7,347.0
2021,1,2021-01,경북,567139.71,33364.0,7052.33,503.0
2021,1,2021-01,광주,73309.61,4203.0,853.1,75.0
2021,1,2021-01,대구,209083.97,12346.0,2374.05,128.0
2021,1,2021-01,대전,139597.12,8657.0,1658.36,86.0
2021,1,2021-01,부산,95553.52,5741.0,1120.26,63.0
2021,1,2021-01,서울,200292.35,13025.0,2465.42,146.0
2021,1,2021-01,세종,57796.38,3478.0,710.31,44.0
2021,1,2021-01,울산,72623.35,4309.0,879.37,112.0
2021,1,2021-01,인천,124064.27,7667.0,1537.35,101.0
