기준월,연도,월,시도,충전량_kWh,value_status,관측값,estimated_value,하한_80,상한_80,모형ID,출처ID
2019-11,2019,11,제주,146222.71,observed,146222.71,,,,,moe_public_fast_monthly
2019-11,2019,11,충남,201440.42,observed,201440.42,,,,,moe_public_fast_monthly
2019-11,2019,11,충북,189175.68,observed,189175.68,,,,,moe_public_fast_monthly
2019-12,2019,12,강원,152921.54,observed,152921.54,,,,,moe_public_fast_monthly
2019-12,2019,12,경기,293410.96,observed,293410.96,,,,,moe_public_fast_monthly
2019-12,2019,12,경남,147728.31,observed,147728.31,,,,,moe_public_fast_monthly
2019-12,2019,12,경북,356049.56,observed,356049.56,,,,,moe_public_fast_monthly
2019-12,2019,12,광주,47802.88,observed,47802.88,,,,,moe_public_fast_monthly
2019-12,2019,12,대구,98566.21,observed,98566.21,,,,,moe_public_fast_monthly
2019-12,2019,12,대전,73077.69,observed,73077.69,,,,,moe_public_fast_monthly
2019-12,2019,12,부산,42229.85,observed,42229.85,,,,,moe_public_fast_monthly
2019-12,2019,12,서울,93950.22,observed,93950.22,,,,,moe_public_fast_monthly
2019-12,2019,12,세종,17046.98,observed,17046.98,,,,,moe_public_fast_monthly
2019-12,2019,12,울산,67104.12,observed,67104.12,,,,,moe_public_fast_monthly
2019-12,2019,12,인천,71695.98,observed,71695.98,,,,,moe_public_fast_monthly
2019-12,2019,12,전남,106067.36,observed,106067.36,,,,,moe_public_fast_monthly
2019-12,2019,12,전북,140736.7,observed,140736.7,,,,,moe_public_fast_monthly
2019-12,2019,12,제주,153870.32,observed,153870.32,,,,,moe_public_fast_monthly
2019-12,2019,12,충남,203556.87,observed,203556.87,,,,,moe_public_fast_monthly
2019-12,2019,12,충북,193726.27,observed,193726.27,,,,,moe_public_fast_monthly
2020-01,2020,1,강원,150486.07,observed,150486.07,,,,,moe_public_fast_monthly
2020-01,2020,1,경기,267356.68,observed,267356.68,,,,,moe_public_fast_monthly
2020-01,2020,1,경남,143576.87,observed,143576.87,,,,,moe_public_fast_monthly
2020-01,2020,1,경북,346742.86,observed,346742.86,,,,,moe_public_fast_monthly
2020-01,2020,1,광주,42484.52,observed,42484.52,,,,,moe_public_fast_monthly
2020-01,2020,1,대구,112619.38,observed,112619.38,,,,,moe_public_fast_monthly
2020-01,2020,1,대전,68054.21,observed,68054.21,,,,,moe_public_fast_monthly
2020-01,2020,1,부산,40030.42,observed,40030.42,,,,,moe_public_fast_monthly
2020-01,2020,1,서울,85502.23,observed,85502.23,,,,,moe_public_fast_monthly
2020-01,2020,1,세종,17517.15,observed,17517.15,,,,,moe_public_fast_monthly
