기준월,연도,월,시도,예측값,value_status,component_moe_scaled,component_load_share,weight_moe,weight_load,모형ID,충전량_kWh,관측값,estimated_value,출처ID
2019-08,2019,8,대구,181351.57,estimated,181351.57,0.0,1.0,0.0,kepco_hybrid_moe_load_v1,181351.57,,181351.57,kepco_hybrid_forecast_v1
2019-08,2019,8,대전,104469.65,estimated,104469.65,0.0,1.0,0.0,kepco_hybrid_moe_load_v1,104469.65,,104469.65,kepco_hybrid_forecast_v1
2019-08,2019,8,부산,71246.06,estimated,71246.06,0.0,1.0,0.0,kepco_hybrid_moe_load_v1,71246.06,,71246.06,kepco_hybrid_forecast_v1
2019-08,2019,8,서울,176704.09,estimated,176704.09,0.0,1.0,0.0,kepco_hybrid_moe_load_v1,176704.09,,176704.09,kepco_hybrid_forecast_v1
2019-08,2019,8,세종,51398.6,estimated,51398.6,0.0,1.0,0.0,kepco_hybrid_moe_load_v1,51398.6,,51398.6,kepco_hybrid_forecast_v1
2019-08,2019,8,울산,29324.19,estimated,29324.19,0.0,1.0,0.0,kepco_hybrid_moe_load_v1,29324.19,,29324.19,kepco_hybrid_forecast_v1
2019-08,2019,8,인천,65692.14,estimated,65692.14,0.0,1.0,0.0,kepco_hybrid_moe_load_v1,65692.14,,65692.14,kepco_hybrid_forecast_v1
2019-08,2019,8,전남,196569.39,estimated,196569.39,0.0,1.0,0.0,kepco_hybrid_moe_load_v1,196569.39,,196569.39,kepco_hybrid_forecast_v1
2019-08,2019,8,전북,82789.89,estimated,82789.89,0.0,1.0,0.0,kepco_hybrid_moe_load_v1,82789.89,,82789.89,kepco_hybrid_forecast_v1
2019-08,2019,8,제주,465274.11,estimated,465274.11,0.0,1.0,0.0,kepco_hybrid_moe_load_v1,465274.11,,465274.11,kepco_hybrid_forecast_v1
2019-08,2019,8,충남,85976.29,estimated,85976.29,0.0,1.0,0.0,kepco_hybrid_moe_load_v1,85976.29,,85976.29,kepco_hybrid_forecast_v1
2019-08,2019,8,충북,122429.46,estimated,122429.46,0.0,1.0,0.0,kepco_hybrid_moe_load_v1,122429.46,,122429.46,kepco_hybrid_forecast_v1
2019-09,2019,9,강원,141954.4,estimated,141954.4,0.0,1.0,0.0,kepco_hybrid_moe_load_v1,141954.4,,141954.4,kepco_hybrid_forecast_v1
