기준월,연도,월,시도,metric_name,예측값,component_moe_scaled,component_load_share,weight_moe,weight_load,ratio_applied,load_index_applied,모형ID,value_status,data_quality_note,generated_at,예측버전
2019-05,2019,5,울산,charge_kwh_sum,15585.43,15585.43,32871.12,1.0,0.0,0.5719,,kepco_hybrid_moe_load_v1,estimated,source_truncated_excel_cap,2026-08-11T07:19:12.117877+00:00,1.0.0
2019-05,2019,5,세종,charge_kwh_sum,45023.88,45023.88,51132.86,1.0,0.0,2.8987,,kepco_hybrid_moe_load_v1,estimated,source_truncated_excel_cap,2026-08-11T07:19:12.117877+00:00,1.0.0
2019-05,2019,5,경기,charge_kwh_sum,203766.5,203766.5,494893.03,1.0,0.0,1.1309,,kepco_hybrid_moe_load_v1,estimated,source_truncated_excel_cap,2026-08-11T07:19:12.117877+00:00,1.0.0
2019-05,2019,5,강원,charge_kwh_sum,96854.34,96854.34,132397.58,1.0,0.0,1.1109,,kepco_hybrid_moe_load_v1,estimated,source_truncated_excel_cap,2026-08-11T07:19:12.117877+00:00,1.0.0
2019-05,2019,5,충북,charge_kwh_sum,85951.06,85951.06,119614.37,1.0,0.0,0.688,,kepco_hybrid_moe_load_v1,estimated,source_truncated_excel_cap,2026-08-11T07:19:12.117877+00:00,1.0.0
2019-05,2019,5,충남,charge_kwh_sum,68127.59,68127.59,94047.94,1.0,0.0,0.4585,,kepco_hybrid_moe_load_v1,estimated,source_truncated_excel_cap,2026-08-11T07:19:12.117877+00:00,1.0.0
2019-05,2019,5,전북,charge_kwh_sum,60275.33,60275.33,112309.67,1.0,0.0,0.6028,,kepco_hybrid_moe_load_v1,estimated,source_truncated_excel_cap,2026-08-11T07:19:12.117877+00:00,1.0.0
2019-05,2019,5,전남,charge_kwh_sum,115842.17,115842.17,143354.62,1.0,0.0,1.6269,,kepco_hybrid_moe_load_v1,estimated,source_truncated_excel_cap,2026-08-11T07:19:12.117877+00:00,1.0.0
2019-05,2019,5,경북,charge_kwh_sum,122260.26,122260.26,145180.8,1.0,0.0,0.5455,,kepco_hybrid_moe_load_v1,estimated,source_truncated_excel_cap,2026-08-11T07:19:12.117877+00:00,1.0.0
2019-05,2019,5,경남,charge_kwh_sum,133960.76,133960.76,166181.79,1.0,0.0,1.2273,,kepco_hybrid_moe_load_v1,estimated,source_truncated_excel_cap,2026-08-11T07:19:12.117877+00:00,1.0.0
2019-05,2019,5,제주,charge_kwh_sum,256424.51,256424.51,151572.41,1.0,0.0,2.5602,,kepco_hybrid_moe_load_v1,estimated,source_truncated_excel_cap,2026-08-11T07:19:12.117877+00:00,1.0.0
2019-06,2019,6,서울,charge_kwh_sum,110997.64,110997.64,872051.01,1.0,0.0,2.2049,,kepco_hybrid_moe_load_v1,estimated,source_truncated_excel_cap,2026-08-11T07:19:12.117877+00:00,1.0.0
2019-06,2019,6,부산,charge_kwh_sum,53703.02,53703.02,208192.36,1.0,0.0,2.0446,,kepco_hybrid_moe_load_v1,estimated,source_truncated_excel_cap,2026-08-11T07:19:12.117877+00:00,1.0.0
2019-06,2019,6,대구,charge_kwh_sum,158410.79,158410.79,288719.59,1.0,0.0,2.2181,,kepco_hybrid_moe_load_v1,estimated,source_truncated_excel_cap,2026-08-11T07:19:12.117877+00:00,1.0.0
2019-06,2019,6,인천,charge_kwh_sum,60802.83,60802.83,208192.36,1.0,0.0,1.2018,,kepco_hybrid_moe_load_v1,estimated,source_truncated_excel_cap,2026-08-11T07:19:12.117877+00:00,1.0.0
2019-06,2019,6,광주,charge_kwh_sum,40957.34,40957.34,129629.2,1.0,0.0,2.305,,kepco_hybrid_moe_load_v1,estimated,source_truncated_excel_cap,2026-08-11T07:19:12.117877+00:00,1.0.0
2019-06,2019,6,대전,charge_kwh_sum,71231.18,71231.18,151234.07,1.0,0.0,1.7782,,kepco_hybrid_moe_load_v1,estimated,source_truncated_excel_cap,2026-08-11T07:19:12.117877+00:00,1.0.0
2019-06,2019,6,울산,charge_kwh_sum,17512.7,17512.7,70706.84,1.0,0.0,0.5719,,kepco_hybrid_moe_load_v1,estimated,source_truncated_excel_cap,2026-08-11T07:19:12.117877+00:00,1.0.0
2019-06,2019,6,세종,charge_kwh_sum,52753.25,52753.25,109988.42,1.0,0.0,2.8987,,kepco_hybrid_moe_load_v1,estimated,source_truncated_excel_cap,2026-08-11T07:19:12.117877+00:00,1.0.0
2019-06,2019,6,경기,charge_kwh_sum,215637.13,215637.13,1064530.74,1.0,0.0,1.1309,,kepco_hybrid_moe_load_v1,estimated,source_truncated_excel_cap,2026-08-11T07:19:12.117877+00:00,1.0.0
2019-06,2019,6,강원,charge_kwh_sum,127645.48,127645.48,284791.43,1.0,0.0,1.1109,,kepco_hybrid_moe_load_v1,estimated,source_truncated_excel_cap,2026-08-11T07:19:12.117877+00:00,1.0.0
2019-06,2019,6,충북,charge_kwh_sum,91813.07,91813.07,257294.33,1.0,0.0,0.688,,kepco_hybrid_moe_load_v1,estimated,source_truncated_excel_cap,2026-08-11T07:19:12.117877+00:00,1.0.0
2019-06,2019,6,충남,charge_kwh_sum,69871.12,69871.12,202300.12,1.0,0.0,0.4585,,kepco_hybrid_moe_load_v1,estimated,source_truncated_excel_cap,2026-08-11T07:19:12.117877+00:00,1.0.0
