기준월,연도,월,권역,충전속도코드,충전속도,누적충전기,지리단위,출처ID,전국대비비중
2024-02,2024,2,강원,완속,완속,9193,region8,me_charger_status_cumulative_stock_monthly,3.3
2024-02,2024,2,경기,완속,완속,76963,region8,me_charger_status_cumulative_stock_monthly,28.0
2024-02,2024,2,경상,완속,완속,63287,region8,me_charger_status_cumulative_stock_monthly,23.0
2024-02,2024,2,서울,완속,완속,47124,region8,me_charger_status_cumulative_stock_monthly,17.1
2024-02,2024,2,인천,완속,완속,15290,region8,me_charger_status_cumulative_stock_monthly,5.6
2024-02,2024,2,전국,완속,완속,275104,national,me_charger_status_cumulative_stock_monthly,100.0
2024-02,2024,2,전라,완속,완속,24823,region8,me_charger_status_cumulative_stock_monthly,9.0
2024-02,2024,2,제주,완속,완속,5659,region8,me_charger_status_cumulative_stock_monthly,2.1
2024-02,2024,2,충청,완속,완속,32765,region8,me_charger_status_cumulative_stock_monthly,11.9
2024-03,2024,3,강원,급속,급속,2065,region8,me_charger_status_cumulative_stock_monthly,5.5
2024-03,2024,3,경기,급속,급속,8070,region8,me_charger_status_cumulative_stock_monthly,21.6
2024-03,2024,3,경상,급속,급속,9543,region8,me_charger_status_cumulative_stock_monthly,25.5
2024-03,2024,3,서울,급속,급속,4302,region8,me_charger_status_cumulative_stock_monthly,11.5
2024-03,2024,3,인천,급속,급속,1421,region8,me_charger_status_cumulative_stock_monthly,3.8
2024-03,2024,3,전국,급속,급속,37380,national,me_charger_status_cumulative_stock_monthly,100.0
2024-03,2024,3,전라,급속,급속,4839,region8,me_charger_status_cumulative_stock_monthly,12.9
2024-03,2024,3,제주,급속,급속,2137,region8,me_charger_status_cumulative_stock_monthly,5.7
2024-03,2024,3,충청,급속,급속,5003,region8,me_charger_status_cumulative_stock_monthly,13.4
2024-03,2024,3,강원,완속,완속,9635,region8,me_charger_status_cumulative_stock_monthly,3.4
2024-03,2024,3,경기,완속,완속,80391,region8,me_charger_status_cumulative_stock_monthly,28.1
2024-03,2024,3,경상,완속,완속,64904,region8,me_charger_status_cumulative_stock_monthly,22.7
2024-03,2024,3,서울,완속,완속,48911,region8,me_charger_status_cumulative_stock_monthly,17.1
2024-03,2024,3,인천,완속,완속,16379,region8,me_charger_status_cumulative_stock_monthly,5.7
2024-03,2024,3,전국,완속,완속,285874,national,me_charger_status_cumulative_stock_monthly,100.0
2024-03,2024,3,전라,완속,완속,25946,region8,me_charger_status_cumulative_stock_monthly,9.1
2024-03,2024,3,제주,완속,완속,5776,region8,me_charger_status_cumulative_stock_monthly,2.0
2024-03,2024,3,충청,완속,완속,33932,region8,me_charger_status_cumulative_stock_monthly,11.9
2024-04,2024,4,강원,급속,급속,2102,region8,me_charger_status_cumulative_stock_monthly,5.5
2024-04,2024,4,경기,급속,급속,8352,region8,me_charger_status_cumulative_stock_monthly,21.7
2024-04,2024,4,경상,급속,급속,9748,region8,me_charger_status_cumulative_stock_monthly,25.4
2024-04,2024,4,서울,급속,급속,4463,region8,me_charger_status_cumulative_stock_monthly,11.6
2024-04,2024,4,인천,급속,급속,1446,region8,me_charger_status_cumulative_stock_monthly,3.8
2024-04,2024,4,전국,급속,급속,38405,national,me_charger_status_cumulative_stock_monthly,100.0
2024-04,2024,4,전라,급속,급속,4962,region8,me_charger_status_cumulative_stock_monthly,12.9
2024-04,2024,4,제주,급속,급속,2173,region8,me_charger_status_cumulative_stock_monthly,5.7
2024-04,2024,4,충청,급속,급속,5159,region8,me_charger_status_cumulative_stock_monthly,13.4
2024-04,2024,4,강원,완속,완속,9895,region8,me_charger_status_cumulative_stock_monthly,3.3
2024-04,2024,4,경기,완속,완속,84208,region8,me_charger_status_cumulative_stock_monthly,28.3
2024-04,2024,4,경상,완속,완속,67425,region8,me_charger_status_cumulative_stock_monthly,22.7
2024-04,2024,4,서울,완속,완속,50587,region8,me_charger_status_cumulative_stock_monthly,17.0
2024-04,2024,4,인천,완속,완속,17278,region8,me_charger_status_cumulative_stock_monthly,5.8
2024-04,2024,4,전국,완속,완속,297480,national,me_charger_status_cumulative_stock_monthly,100.0
2024-04,2024,4,전라,완속,완속,27198,region8,me_charger_status_cumulative_stock_monthly,9.1
2024-04,2024,4,제주,완속,완속,5851,region8,me_charger_status_cumulative_stock_monthly,2.0
2024-04,2024,4,충청,완속,완속,35038,region8,me_charger_status_cumulative_stock_monthly,11.8
2024-05,2024,5,강원,급속,급속,2158,region8,me_charger_status_cumulative_stock_monthly,5.4
2024-05,2024,5,경기,급속,급속,9028,region8,me_charger_status_cumulative_stock_monthly,22.5
2024-05,2024,5,경상,급속,급속,10022,region8,me_charger_status_cumulative_stock_monthly,24.9
2024-05,2024,5,서울,급속,급속,4626,region8,me_charger_status_cumulative_stock_monthly,11.5
2024-05,2024,5,인천,급속,급속,1561,region8,me_charger_status_cumulative_stock_monthly,3.9
2024-05,2024,5,전국,급속,급속,40177,national,me_charger_status_cumulative_stock_monthly,100.0
2024-05,2024,5,전라,급속,급속,5149,region8,me_charger_status_cumulative_stock_monthly,12.8
2024-05,2024,5,제주,급속,급속,2192,region8,me_charger_status_cumulative_stock_monthly,5.5
2024-05,2024,5,충청,급속,급속,5441,region8,me_charger_status_cumulative_stock_monthly,13.5
2024-05,2024,5,강원,완속,완속,10126,region8,me_charger_status_cumulative_stock_monthly,3.3
2024-05,2024,5,경기,완속,완속,86561,region8,me_charger_status_cumulative_stock_monthly,28.4
